phone_number,email,credit_score,age_group,family_background,income,comments,intent
+91-9520619709,john92@example.com,484,51+,Single,745674,now maybe interested,0
+91-9959072216,samantharose@example.com,777,18-25,Married,104483,urgent soon,0
+91-9146432330,cooperkatelyn@example.com,312,18-25,Married,348961,maybe,1
+91-9065850824,ifields@example.net,841,18-25,Single,520720,immediately soon later,1
+91-9421574501,williamsethan@example.org,730,18-25,Married,217448,immediately now,0
+91-9772705340,tracymerritt@example.org,815,51+,Married with Kids,806827,now soon not interested,1
+91-9613442740,orodriguez@example.org,523,51+,Single,183689,not interested interested later,1
+91-9985682063,rjohnson@example.net,487,51+,Married with Kids,632092,maybe not interested,0
+91-9418549755,rebecca31@example.com,311,18-25,Married with Kids,652020,not interested,1
+91-9756342490,brad34@example.org,393,26-35,Married,578508,not interested now soon,1
+91-9877543337,kadams@example.net,534,51+,Married with Kids,957319,urgent,1
+91-9660293610,paulburke@example.com,374,36-50,Single,861647,urgent maybe soon,0
+91-9110893595,meganjensen@example.net,302,51+,Married with Kids,597722,maybe soon,1
+91-9850412103,sarah17@example.net,549,36-50,Married with Kids,265405,urgent,1
+91-9862726702,haleynichols@example.net,389,51+,Married,919058,urgent immediately,0
+91-9612054852,alyssa78@example.com,372,26-35,Single,779904,urgent not interested,0
+91-9489410643,scott27@example.org,758,51+,Married with Kids,644563,later,0
+91-9558791373,holly47@example.com,377,51+,Single,178295,soon interested now,0
+91-9537171081,ytate@example.com,843,26-35,Single,567343,maybe interested,0
+91-9211780333,tsantiago@example.com,455,36-50,Married,977994,not interested,1
+91-9446602417,kelseysmith@example.com,384,36-50,Single,712328,later,0
+91-9489362789,mramirez@example.net,437,26-35,Married with Kids,494832,not interested urgent,0
+91-9650585706,dmason@example.net,384,26-35,Married,495904,maybe,0
+91-9306097393,turnerjill@example.org,302,18-25,Married,162668,soon now later,0
+91-9375802627,pbarnes@example.org,377,36-50,Single,842671,interested urgent soon,1
+91-9296076996,stephaniescott@example.net,439,18-25,Married,664638,later,0
+91-9622778223,mburns@example.com,589,51+,Married,883828,urgent immediately interested,1
+91-9491484378,kristensummers@example.org,709,36-50,Married with Kids,264620,maybe not interested,0
+91-9337156457,christopher44@example.org,304,51+,Single,755436,not interested,1
+91-9170027437,xhernandez@example.net,615,51+,Married,601871,now soon,1
+91-9092124174,josephdavis@example.org,629,51+,Married,939575,not interested soon interested,0
+91-9617715191,christine19@example.com,477,36-50,Married,464294,interested maybe later,0
+91-9510713041,tracy19@example.org,387,18-25,Married with Kids,885840,soon interested,0
+91-9868703498,shelby89@example.com,830,51+,Single,802128,now later,1
+91-9540690923,mcooper@example.net,659,51+,Single,917917,soon,1
+91-9285703354,brandon95@example.net,604,51+,Single,876654,not interested,1
+91-9216068917,richard72@example.net,630,26-35,Married,705799,not interested,0
+91-9809957170,jamesmichele@example.com,668,36-50,Married,289939,not interested maybe,0
+91-9856488329,robertsregina@example.com,736,51+,Married with Kids,292995,not interested urgent,1
+91-9871292361,kevinwilliams@example.net,361,26-35,Married,745273,interested maybe soon,1
+91-9754750826,veronica31@example.org,629,26-35,Married with Kids,333496,interested,0
+91-9632523559,pwilkerson@example.com,370,51+,Single,305132,later interested,0
+91-9010219021,olsonrichard@example.org,844,26-35,Single,695421,not interested later,0
+91-9889279425,jordanchristy@example.org,467,26-35,Single,733073,maybe not interested now,1
+91-9918623540,grahamangela@example.org,481,18-25,Married with Kids,965588,not interested now,0
+91-9866966476,schmidtkim@example.net,633,18-25,Married with Kids,466446,later urgent,0
+91-9523414738,rodriguezpeter@example.net,545,51+,Married,326226,immediately soon,1
+91-9202225017,raymond09@example.com,504,18-25,Married,327474,maybe,1
+91-9623262853,hbuckley@example.org,521,51+,Single,824916,not interested,1
+91-9125342695,devinmaddox@example.net,679,18-25,Married,459626,urgent later,1
+91-9622812574,jeffreymorgan@example.org,456,36-50,Married with Kids,878997,later interested not interested,1
+91-9921668559,nrosales@example.org,336,36-50,Married,261721,interested now immediately,0
+91-9805154386,hcopeland@example.org,617,26-35,Married with Kids,796091,now maybe interested,1
+91-9436433217,fordjohn@example.net,431,36-50,Married,817065,soon later not interested,1
+91-9626917648,jonesjessica@example.net,312,51+,Married with Kids,375988,soon now later,1
+91-9780057699,joel56@example.net,502,26-35,Married,791030,not interested,1
+91-9475906715,vickietorres@example.org,351,18-25,Married,240646,urgent not interested,0
+91-9826484816,pbond@example.org,765,18-25,Married with Kids,309571,maybe interested,0
+91-9633607630,richard35@example.net,709,18-25,Married with Kids,839833,interested,1
+91-9445779992,kjohnson@example.com,727,18-25,Married with Kids,825465,later interested now,1
+91-9193691764,jasonsanders@example.net,500,26-35,Married with Kids,899572,immediately later,0
+91-9030101974,nperry@example.com,545,36-50,Married,126577,maybe later soon,0
+91-9904805718,solismichele@example.net,674,18-25,Married,322518,interested,0
+91-9036492595,kennethperry@example.org,778,18-25,Single,833943,soon maybe,1
+91-9214061351,jbautista@example.com,378,36-50,Married,736807,now later,1
+91-9556218433,jamiejenkins@example.org,577,36-50,Married,516311,urgent maybe immediately,1
+91-9253341958,jennifersanders@example.net,500,26-35,Single,279198,maybe interested,0
+91-9726016206,gregory27@example.net,816,36-50,Married with Kids,656391,not interested,1
